Age,Gender,State,Education,EmploymentType,MaritalStatus,FilingStatus,Dependents,AnnualIncome,BusinessIncome,CapitalGains,MortgageInterest,CharitableDonations,RetirementContrib,HealthInsurancePremium,StandardDeduction,DeductionsTotal,TaxableIncome,TaxLiability,EffectiveTaxRate,HasMortgage,AuditFlag
38,Female,WA,Masters,Salaried,Married,MarriedSeparate,4,59858.22,4321.97,2052.54,2518.27,610.19,3457.83,6598.16,13850.0,13850.0,46382.72,1711.7,0.0258,1,0
46,Male,NC,PhD,Salaried,Single,Single,3,88484.38,850.46,772.23,1492.93,794.4,6683.5,4449.7,13850.0,13850.0,71757.06,8694.05,0.0965,1,0
34,Female,WA,HighSchool,Salaried,Married,MarriedJoint,4,32712.86,1272.81,3431.54,312.3,27.92,762.48,5445.88,27700.0,27700.0,3717.21,0.0,0.0,1,1
45,Female,AZ,HighSchool,Salaried,Married,MarriedJoint,3,78379.71,4314.78,4335.94,1977.32,3159.24,5211.06,6963.34,27700.0,27700.0,54830.43,4970.2,0.0571,1,1
38,Male,OH,Bachelors,Retired,Married,MarriedJoint,2,18989.39,6309.12,1924.17,112.25,411.36,706.17,4500.54,27700.0,27700.0,0.0,0.0,0.0,1,1
44,Female,NC,Bachelors,SelfEmployed,Divorced,HeadOfHousehold,2,45939.25,37783.52,788.2,599.51,850.58,3397.18,6383.3,20800.0,20800.0,60710.98,6463.92,0.0765,1,0
47,Female,PA,Bachelors,Salaried,Single,HeadOfHousehold,2,42333.99,1465.48,773.36,230.39,287.33,2220.93,4835.65,20800.0,20800.0,20772.82,72.74,0.0016,1,1
33,Female,MI,Bachelors,Salaried,Married,MarriedJoint,3,45769.15,4250.32,5967.53,995.06,366.72,3949.57,4837.28,27700.0,27700.0,23786.99,0.0,0.0,1,1
34,Male,PA,Masters,Salaried,Single,Single,2,35597.96,9056.34,4199.47,457.87,290.98,2329.43,3949.77,13850.0,13850.0,32003.76,1420.45,0.0291,1,1
42,Male,NC,HighSchool,Salaried,Single,Single,3,47402.41,4478.68,2801.65,529.1,318.25,4084.22,5266.02,13850.0,13850.0,36332.74,1739.93,0.0318,1,0
27,Male,NY,Bachelors,Salaried,Single,HeadOfHousehold,1,51745.85,1656.06,1520.34,507.15,555.62,4588.2,4495.46,20800.0,20800.0,32622.24,2294.67,0.0418,1,0
35,Female,GA,Masters,Salaried,Married,MarriedSeparate,2,79994.21,4942.17,2134.36,7019.47,1284.53,2746.86,5493.45,13850.0,13850.0,70220.74,9156.06,0.1052,1,0
29,Female,OH,Bachelors,Contractor,Married,MarriedJoint,1,51979.22,32800.35,2796.2,801.45,636.14,1513.9,5559.35,27700.0,27700.0,58375.77,6750.17,0.0771,1,1
40,Female,NY,Bachelors,Salaried,Married,MarriedJoint,2,65111.79,6593.5,1304.45,2718.94,540.94,3483.75,6024.25,27700.0,27700.0,42309.75,2657.17,0.0364,1,1
49,Male,GA,HighSchool,Contractor,Single,Single,2,34208.38,16873.8,116.73,322.78,45.79,1700.27,6716.2,13850.0,13850.0,34348.91,2301.87,0.045,1,0
53,Male,FL,HighSchool,Salaried,Married,MarriedJoint,3,95302.63,4228.47,3217.06,3871.06,620.27,4118.34,5648.49,27700.0,27700.0,70548.16,8428.1,0.082,1,1
58,Female,GA,Bachelors,Salaried,Married,MarriedJoint,4,34707.99,3890.84,5601.15,2116.19,321.49,3090.11,6661.96,27700.0,27700.0,10499.98,0.0,0.0,1,0
43,Male,GA,Bachelors,Salaried,Married,MarriedSeparate,2,51478.32,6479.84,2569.69,1547.9,286.54,3395.05,5325.74,13850.0,13850.0,43677.85,2821.34,0.0466,1,1
27,Female,GA,Bachelors,Salaried,Single,Single,2,57012.1,3477.35,933.26,2504.58,696.31,3204.09,4754.08,13850.0,13850.0,44572.72,2928.73,0.0477,1,1
27,Female,GA,Bachelors,Salaried,Married,MarriedJoint,1,50920.32,2716.53,1250.98,814.77,311.74,3163.78,5514.47,27700.0,27700.0,25687.83,1462.54,0.0266,1,0
46,Female,IL,Masters,Salaried,Married,MarriedJoint,3,80023.96,9046.98,706.85,1961.78,1850.19,0.0,6218.33,27700.0,27700.0,57577.79,4974.61,0.0554,1,0
37,Male,GA,Masters,Contractor,Divorced,Single,1,89546.01,53339.96,4678.15,4373.86,105.42,5142.23,3207.07,13850.0,13850.0,132214.12,24331.39,0.1649,1,1
31,Female,WA,HighSchool,Salaried,Married,MarriedJoint,2,71580.54,2212.32,2549.16,6078.19,169.85,3558.27,4915.73,27700.0,27700.0,45642.02,3748.74,0.0491,1,1
52,Female,CA,HighSchool,Salaried,Married,MarriedJoint,6,75436.37,9502.73,1366.24,4988.7,2433.76,3412.8,7926.39,27700.0,27700.0,49605.34,1420.68,0.0165,1,1
60,Female,MI,Masters,Salaried,Single,HeadOfHousehold,3,85611.07,7987.03,1562.1,453.94,901.87,7686.76,5216.89,20800.0,20800.0,69860.2,7676.74,0.0807,1,0
47,Male,CA,Bachelors,Salaried,Single,Single,2,75739.62,4545.84,2127.61,398.64,474.13,5621.4,5873.84,13850.0,13850.0,65563.07,7531.38,0.0914,1,1
52,Male,IL,Bachelors,Unemployed,Divorced,Single,4,10052.31,560.37,10.12,87.89,314.62,1002.38,6066.41,13850.0,13850.0,0.0,0.0,0.0,1,1
35,Male,TX,HighSchool,Salaried,Married,MarriedSeparate,3,68863.82,7068.87,4546.95,3153.79,214.85,4483.42,6533.14,13850.0,13850.0,62129.65,6576.02,0.0817,1,1
36,Male,MI,Bachelors,Salaried,Married,MarriedSeparate,2,32520.6,1516.92,1604.87,813.83,72.0,1523.51,5785.02,13850.0,13850.0,18792.38,0.0,0.0,1,0
18,Female,CA,HighSchool,SelfEmployed,Widowed,Single,0,64571.57,36780.62,2226.85,1315.2,83.91,3979.18,2416.45,13850.0,13850.0,89729.04,15047.89,0.1453,1,0
54,Female,NC,HighSchool,Salaried,Single,HeadOfHousehold,4,38449.09,3130.34,4904.65,2366.96,443.51,3008.0,6276.71,20800.0,20800.0,19684.08,0.0,0.0,1,1
50,Female,FL,Bachelors,Salaried,Married,MarriedJoint,3,64861.37,1408.54,8902.3,2837.53,168.77,2547.52,5537.04,27700.0,27700.0,42972.21,1936.66,0.0258,1,1
41,Male,NY,Masters,SelfEmployed,Single,HeadOfHousehold,2,84960.14,6928.45,571.7,2123.89,83.6,4668.14,6428.43,20800.0,20800.0,68660.29,8212.76,0.0888,1,1
57,Male,AZ,HighSchool,Contractor,Single,Single,4,45358.53,4771.71,926.85,629.97,192.6,2944.62,7109.83,13850.0,13850.0,31207.08,324.85,0.0064,1,0
47,Male,NY,Bachelors,SelfEmployed,Single,HeadOfHousehold,3,82762.53,30532.23,3762.08,1091.28,26.51,5019.53,6905.3,20800.0,20800.0,91756.84,13094.0,0.1119,1,1
42,Male,TX,Bachelors,Salaried,Married,MarriedJoint,2,47669.69,4520.99,2113.89,1594.89,594.92,4487.32,5161.17,27700.0,27700.0,23604.57,412.55,0.0076,1,1
55,Male,IL,Bachelors,Salaried,Married,MarriedJoint,4,84132.35,3092.6,6361.64,902.51,477.13,4948.44,5120.73,27700.0,27700.0,59886.59,4682.55,0.05,1,1
36,Male,NY,Bachelors,Salaried,Single,HeadOfHousehold,2,70254.56,1831.28,3443.21,1106.76,180.42,4115.68,7164.7,20800.0,20800.0,51729.06,4487.89,0.0594,1,0
36,Male,NC,HighSchool,Salaried,Single,HeadOfHousehold,1,61515.49,5937.32,205.29,269.07,137.76,2718.74,5567.66,20800.0,20800.0,45358.11,4486.28,0.0663,1,1
36,Female,CA,Bachelors,Unemployed,Married,MarriedJoint,2,8050.83,2828.49,272.8,147.81,102.42,586.07,4338.28,27700.0,27700.0,0.0,0.0,0.0,1,0
27,Male,NC,Masters,Salaried,Single,HeadOfHousehold,0,36283.68,1831.62,2261.39,638.37,635.97,1579.32,2927.45,20800.0,20800.0,19576.69,1529.2,0.0379,1,0
63,Female,IL,HighSchool,Salaried,Single,HeadOfHousehold,3,47838.77,12083.48,4493.08,585.22,493.14,4148.07,6882.32,20800.0,20800.0,39115.33,2073.84,0.0322,1,0
30,Female,MI,PhD,Salaried,Single,Single,2,77172.98,1324.2,3962.79,1805.26,1084.56,3579.07,5398.53,13850.0,13850.0,65609.97,7541.69,0.0915,1,1
38,Male,FL,HighSchool,Salaried,Married,MarriedJoint,3,36431.72,11748.23,112.27,904.83,295.29,2580.39,5404.62,27700.0,27700.0,16092.22,0.0,0.0,1,1
45,Female,CA,Bachelors,Salaried,Married,MarriedJoint,3,65486.59,6129.16,3961.17,3205.55,191.2,4021.57,3986.97,27700.0,27700.0,43376.92,1985.23,0.0263,1,1
48,Female,MI,Bachelors,Salaried,Married,MarriedJoint,3,32112.19,2338.93,4354.65,147.65,281.86,1510.9,5275.13,27700.0,27700.0,6605.78,0.0,0.0,1,1
49,Male,TX,Masters,Contractor,Single,Single,2,84275.05,36336.77,1259.52,587.67,842.02,7274.53,3949.38,13850.0,13850.0,105021.34,17005.12,0.1395,1,0
23,Male,IL,HighSchool,Salaried,Married,MarriedJoint,1,48974.86,8804.08,778.54,941.7,650.11,3068.2,3385.85,27700.0,27700.0,29357.48,2502.9,0.0427,1,0
26,Female,WA,HighSchool,Salaried,Single,Single,0,94817.65,3284.63,2873.77,913.96,711.4,5596.2,5633.88,13850.0,13850.0,87126.05,14475.23,0.1434,1,0
46,Male,AZ,Bachelors,Salaried,Single,HeadOfHousehold,4,66926.96,671.17,4164.57,1277.85,158.7,3163.24,7797.19,20800.0,20800.0,44962.71,1399.3,0.0195,1,0
60,Male,NY,HighSchool,Salaried,Single,Single,4,113763.17,3244.82,12534.92,1940.66,676.49,10412.46,6449.02,13850.0,13850.0,109692.92,16526.3,0.1276,1,1
59,Male,WA,Bachelors,Salaried,Married,MarriedJoint,4,60320.1,2852.06,1182.39,491.49,473.57,5083.25,6608.9,27700.0,27700.0,30654.55,0.0,0.0,1,0
55,Female,MI,Masters,Salaried,Married,MarriedJoint,3,49199.6,1745.34,3368.24,1316.1,458.73,4217.33,4547.45,27700.0,27700.0,22113.19,0.0,0.0,1,1
39,Female,AZ,HighSchool,Contractor,Single,Single,1,66188.51,45026.98,4033.94,1785.35,285.82,6385.96,3641.53,13850.0,13850.0,99899.44,16575.86,0.1438,1,1
36,Female,MI,Masters,Salaried,Married,MarriedJoint,4,65575.81,1469.97,1765.69,856.33,139.56,3535.92,7269.91,27700.0,27700.0,35111.47,193.38,0.0028,1,1
27,Female,CA,HighSchool,Salaried,Single,HeadOfHousehold,0,72925.19,3004.16,521.93,433.72,504.55,1592.23,2760.9,20800.0,20800.0,55651.29,7550.78,0.0988,1,1
48,Male,AZ,Masters,Salaried,Married,MarriedSeparate,5,70684.81,3442.09,3862.01,3936.89,224.26,4931.25,7432.04,13850.0,13850.0,56638.91,3168.06,0.0406,1,1
52,Female,CA,PhD,Salaried,Widowed,Single,2,134169.91,8522.27,2550.78,714.12,910.4,13134.6,4614.38,13850.0,13850.0,128392.96,22614.31,0.1557,1,0
44,Male,FL,Bachelors,SelfEmployed,Divorced,HeadOfHousehold,2,92862.0,15576.7,4474.47,645.24,988.38,5982.64,4705.64,20800.0,20800.0,89113.17,13312.4,0.1179,1,1
54,Male,FL,PhD,Salaried,Married,MarriedJoint,3,88343.33,3324.97,1077.27,8250.49,495.31,4031.1,6400.47,27700.0,27700.0,60545.57,5627.52,0.0607,1,0
50,Female,PA,Masters,Salaried,Single,Single,4,71310.86,2251.44,12598.79,6711.52,255.3,3711.52,8511.45,13850.0,14277.29,65883.8,6001.94,0.0697,1,0
47,Male,TX,HighSchool,Unemployed,Single,HeadOfHousehold,2,13943.14,1264.91,223.75,107.18,323.24,1056.53,4978.78,20800.0,20800.0,0.0,0.0,0.0,1,1
41,Female,CA,HighSchool,Salaried,Single,Single,3,32269.89,5264.54,697.79,159.65,144.56,2197.87,6582.5,13850.0,13850.0,19882.22,0.0,0.0,1,0
21,Female,WA,HighSchool,Salaried,Single,Single,0,58188.26,1746.56,3500.08,465.29,298.51,3112.56,3797.41,13850.0,13850.0,49584.9,6216.18,0.098,1,1
41,Female,GA,Bachelors,SelfEmployed,Single,Single,3,106692.74,20121.23,4226.64,2940.05,1515.86,6641.72,5865.76,13850.0,13850.0,112690.62,18045.75,0.1377,1,0
25,Female,IL,Bachelors,Salaried,Married,MarriedJoint,1,40353.06,4969.2,1517.69,2548.17,658.12,2500.96,5002.14,27700.0,27700.0,17639.94,496.79,0.0106,1,0
41,Female,MI,Bachelors,Salaried,Single,Single,2,67174.79,2286.77,1257.78,343.07,284.44,2600.57,7207.27,13850.0,13850.0,53869.34,4958.75,0.0701,1,1
18,Male,AZ,Bachelors,Salaried,Married,MarriedJoint,1,22792.64,6314.52,290.34,805.94,316.22,1734.7,5451.03,27700.0,27700.0,197.5,0.0,0.0,1,1
38,Male,TX,Bachelors,Salaried,Married,MarriedSeparate,2,45810.23,1432.56,1695.89,1084.39,913.81,1914.94,7239.3,13850.0,13850.0,32088.68,1430.64,0.0292,1,0
48,Male,NY,HighSchool,Salaried,Married,MarriedJoint,6,41123.08,2823.95,1628.95,2601.08,482.17,1750.97,7542.12,27700.0,27700.0,8875.99,0.0,0.0,1,1
22,Male,AZ,HighSchool,SelfEmployed,Divorced,Single,0,25937.71,16089.24,1566.21,555.58,85.68,1325.12,3898.67,13850.0,13850.0,29743.16,3349.18,0.0768,1,1
48,Male,PA,PhD,Salaried,Married,MarriedJoint,3,61652.73,757.83,829.53,2663.14,27.31,3636.35,6248.79,27700.0,27700.0,31040.09,504.81,0.008,1,0
31,Female,NY,Bachelors,Unemployed,Single,HeadOfHousehold,2,18736.13,2260.67,629.54,355.35,250.65,737.13,4095.91,20800.0,20800.0,0.0,0.0,0.0,1,1
45,Male,TX,Bachelors,Salaried,Married,MarriedSeparate,4,73024.76,1786.86,962.88,655.01,537.92,4272.07,5232.25,13850.0,13850.0,55924.5,3810.89,0.0503,1,1
39,Male,AZ,HighSchool,Salaried,Married,MarriedJoint,3,53087.63,6082.69,3854.98,2798.16,455.41,5229.99,5513.84,27700.0,27700.0,30825.3,1079.04,0.0171,1,1
39,Male,PA,PhD,SelfEmployed,Single,Single,1,87718.86,12570.88,2996.02,1650.54,48.95,6577.29,4921.29,13850.0,13850.0,87935.76,13853.37,0.1341,1,0
